# Lindhard-Scharff electronic stopping table for Pb (Z=82, M=207.2) in diamond (n = 1.7624e+23 cm^-3).
# Generated by potentials/generate_stopping.py -- see docstring for caveats.
# Columns: E(eV)  dE/dx_C(eV/A)  dE/dx_ion(eV/A)
1.000000e+00  5.573246e-02  4.607878e-02
1.068164e+00  5.760063e-02  4.762335e-02
1.140975e+00  5.953142e-02  4.921970e-02
1.218749e+00  6.152694e-02  5.086956e-02
1.301824e+00  6.358934e-02  5.257473e-02
1.390562e+00  6.572087e-02  5.433705e-02
1.485348e+00  6.792386e-02  5.615844e-02
1.586596e+00  7.020069e-02  5.804089e-02
1.694745e+00  7.255384e-02  5.998644e-02
1.810266e+00  7.498587e-02  6.199721e-02
1.933661e+00  7.749942e-02  6.407537e-02
2.065468e+00  8.009722e-02  6.622320e-02
2.206259e+00  8.278211e-02  6.844302e-02
2.356647e+00  8.555699e-02  7.073726e-02
2.517286e+00  8.842489e-02  7.310839e-02
2.688875e+00  9.138892e-02  7.555901e-02
2.872160e+00  9.445230e-02  7.809177e-02
3.067939e+00  9.761838e-02  8.070943e-02
3.277062e+00  1.008906e-01  8.341484e-02
3.500441e+00  1.042725e-01  8.621093e-02
3.739046e+00  1.077677e-01  8.910075e-02
3.993915e+00  1.113801e-01  9.208743e-02
4.266158e+00  1.151136e-01  9.517423e-02
4.556957e+00  1.189723e-01  9.836450e-02
4.867579e+00  1.229602e-01  1.016617e-01
5.199373e+00  1.270819e-01  1.050694e-01
5.553785e+00  1.313417e-01  1.085914e-01
5.932354e+00  1.357444e-01  1.122314e-01
6.336729e+00  1.402945e-01  1.159935e-01
6.768667e+00  1.449973e-01  1.198816e-01
7.230048e+00  1.498576e-01  1.239001e-01
7.722879e+00  1.548809e-01  1.280532e-01
8.249304e+00  1.600726e-01  1.323456e-01
8.811611e+00  1.654382e-01  1.367819e-01
9.412248e+00  1.709838e-01  1.413669e-01
1.005383e+01  1.767152e-01  1.461055e-01
1.073914e+01  1.826388e-01  1.510030e-01
1.147116e+01  1.887609e-01  1.560647e-01
1.225309e+01  1.950882e-01  1.612960e-01
1.308831e+01  2.016276e-01  1.667027e-01
1.398046e+01  2.083862e-01  1.722907e-01
1.493343e+01  2.153714e-01  1.780659e-01
1.595136e+01  2.225907e-01  1.840347e-01
1.703867e+01  2.300520e-01  1.902036e-01
1.820010e+01  2.377635e-01  1.965793e-01
1.944070e+01  2.457334e-01  2.031687e-01
2.076586e+01  2.539704e-01  2.099790e-01
2.218135e+01  2.624836e-01  2.170176e-01
2.369332e+01  2.712821e-01  2.242921e-01
2.530836e+01  2.803756e-01  2.318104e-01
2.703348e+01  2.897739e-01  2.395808e-01
2.887620e+01  2.994872e-01  2.476116e-01
3.084453e+01  3.095261e-01  2.559116e-01
3.294702e+01  3.199015e-01  2.644899e-01
3.519283e+01  3.306247e-01  2.733556e-01
3.759172e+01  3.417074e-01  2.825186e-01
4.015413e+01  3.531615e-01  2.919887e-01
4.289121e+01  3.649996e-01  3.017763e-01
4.581486e+01  3.772345e-01  3.118919e-01
4.893779e+01  3.898795e-01  3.223466e-01
5.227360e+01  4.029484e-01  3.331518e-01
5.583679e+01  4.164554e-01  3.443191e-01
5.964286e+01  4.304151e-01  3.558608e-01
6.370838e+01  4.448427e-01  3.677894e-01
6.805101e+01  4.597540e-01  3.801178e-01
7.268966e+01  4.751651e-01  3.928595e-01
7.764449e+01  4.910928e-01  4.060283e-01
8.293707e+01  5.075544e-01  4.196385e-01
8.859041e+01  5.245678e-01  4.337049e-01
9.462911e+01  5.421514e-01  4.482428e-01
1.010794e+02  5.603245e-01  4.632681e-01
1.079694e+02  5.791068e-01  4.787970e-01
1.153291e+02  5.985186e-01  4.948464e-01
1.231904e+02  6.185812e-01  5.114338e-01
1.315876e+02  6.393162e-01  5.285772e-01
1.405572e+02  6.607463e-01  5.462953e-01
1.501381e+02  6.828947e-01  5.646073e-01
1.603722e+02  7.057856e-01  5.835331e-01
1.713039e+02  7.294437e-01  6.030933e-01
1.829807e+02  7.538949e-01  6.233092e-01
1.954534e+02  7.791657e-01  6.442027e-01
2.087763e+02  8.052836e-01  6.657966e-01
2.230074e+02  8.322770e-01  6.881143e-01
2.382085e+02  8.601752e-01  7.111801e-01
2.544459e+02  8.890085e-01  7.350191e-01
2.717900e+02  9.188084e-01  7.596572e-01
2.903163e+02  9.496071e-01  7.851212e-01
3.101055e+02  9.814383e-01  8.114387e-01
3.312436e+02  1.014336e+00  8.386383e-01
3.538226e+02  1.048337e+00  8.667498e-01
3.779407e+02  1.083478e+00  8.958035e-01
4.037027e+02  1.119796e+00  9.258311e-01
4.312208e+02  1.157332e+00  9.568653e-01
4.606146e+02  1.196126e+00  9.889397e-01
4.920121e+02  1.236221e+00  1.022089e+00
5.255497e+02  1.277660e+00  1.056350e+00
5.613734e+02  1.320487e+00  1.091759e+00
5.996390e+02  1.364750e+00  1.128355e+00
6.405130e+02  1.410497e+00  1.166178e+00
6.841731e+02  1.457777e+00  1.205269e+00
7.308092e+02  1.506643e+00  1.245670e+00
7.806243e+02  1.557146e+00  1.287425e+00
8.338350e+02  1.609342e+00  1.330580e+00
8.906727e+02  1.663287e+00  1.375181e+00
9.513847e+02  1.719041e+00  1.421278e+00
1.016235e+03  1.776664e+00  1.468920e+00
1.085506e+03  1.836219e+00  1.518158e+00
1.159499e+03  1.897769e+00  1.569048e+00
1.238535e+03  1.961383e+00  1.621643e+00
1.322959e+03  2.027129e+00  1.676000e+00
1.413138e+03  2.095079e+00  1.732181e+00
1.509463e+03  2.165307e+00  1.790244e+00
1.612354e+03  2.237889e+00  1.850253e+00
1.722259e+03  2.312903e+00  1.912274e+00
1.839656e+03  2.390433e+00  1.976374e+00
1.965055e+03  2.470561e+00  2.042623e+00
2.099001e+03  2.553375e+00  2.111093e+00
2.242078e+03  2.638965e+00  2.181857e+00
2.394908e+03  2.727424e+00  2.254994e+00
2.558155e+03  2.818848e+00  2.330582e+00
2.732529e+03  2.913336e+00  2.408704e+00
2.918790e+03  3.010992e+00  2.489444e+00
3.117747e+03  3.111922e+00  2.572891e+00
3.330266e+03  3.216235e+00  2.659135e+00
3.557271e+03  3.324044e+00  2.748270e+00
3.799750e+03  3.435467e+00  2.840393e+00
4.058757e+03  3.550625e+00  2.935604e+00
4.335419e+03  3.669643e+00  3.034006e+00
4.630940e+03  3.792650e+00  3.135707e+00
4.946605e+03  3.919781e+00  3.240817e+00
5.283786e+03  4.051174e+00  3.349450e+00
5.643951e+03  4.186970e+00  3.461725e+00
6.028667e+03  4.327319e+00  3.577763e+00
6.439607e+03  4.472372e+00  3.697691e+00
6.878558e+03  4.622287e+00  3.821639e+00
7.347430e+03  4.777228e+00  3.949741e+00
7.848262e+03  4.937362e+00  4.082138e+00
8.383232e+03  5.102864e+00  4.218973e+00
8.954669e+03  5.273914e+00  4.360394e+00
9.565058e+03  5.450697e+00  4.506556e+00
1.021705e+04  5.633406e+00  4.657617e+00
1.091349e+04  5.822240e+00  4.813742e+00
1.165740e+04  6.017403e+00  4.975100e+00
1.245202e+04  6.219108e+00  5.141867e+00
1.330080e+04  6.427575e+00  5.314224e+00
1.420744e+04  6.643029e+00  5.492358e+00
1.517588e+04  6.865705e+00  5.676464e+00
1.621033e+04  7.095846e+00  5.866741e+00
1.731530e+04  7.333701e+00  6.063396e+00
1.849558e+04  7.579529e+00  6.266643e+00
1.975632e+04  7.833597e+00  6.476703e+00
2.110299e+04  8.096182e+00  6.693804e+00
2.254146e+04  8.367569e+00  6.918182e+00
2.407799e+04  8.648052e+00  7.150082e+00
2.571924e+04  8.937938e+00  7.389755e+00
2.747238e+04  9.237540e+00  7.637462e+00
2.934501e+04  9.547186e+00  7.893472e+00
3.134529e+04  9.867210e+00  8.158064e+00
3.348192e+04  1.019796e+01  8.431525e+00
3.576419e+04  1.053980e+01  8.714152e+00
3.820203e+04  1.089310e+01  9.006253e+00
4.080604e+04  1.125824e+01  9.308146e+00
4.358756e+04  1.163562e+01  9.620158e+00
4.655867e+04  1.202565e+01  9.942629e+00
4.973231e+04  1.242875e+01  1.027591e+01
5.312227e+04  1.284537e+01  1.062036e+01
5.674331e+04  1.327595e+01  1.097636e+01
6.061118e+04  1.372096e+01  1.134429e+01
6.474269e+04  1.418089e+01  1.172455e+01
6.915583e+04  1.465624e+01  1.211756e+01
7.386979e+04  1.514752e+01  1.252375e+01
